Date,Narration,Withdrawal Amt,Deposit Amt,Closing Balance
09/12/2025,POS/NETMEDS/Online Pharmacy,506.89,,112939.18
09/12/2025,UPI/PHONEPE/Send Money,3478.42,,109460.76
10/12/2025,POS/DMART/Ahmedabad,1445.65,,108015.11
10/12/2025,POS/BPCL PETROL/Chandkheda,2937.42,,105077.69
10/12/2025,NEFT/TRANSFER/Personal,,6414.42,111492.11
10/12/2025,UPI/PHONEPE/KFC Ahmedabad,459.51,,111032.6
10/12/2025,UPI/PHONEPE/KFC Ahmedabad,292.03,,110740.57
11/12/2025,LIC/PREMIUM/Policy,4500.0,,106240.57
11/12/2025,ZERODHA/SIP/Mutual Fund,2472.3,,103768.27
11/12/2025,LIC/PREMIUM/Policy,4500.0,,99268.27
11/12/2025,UPI/OLA/Cab Booking,103.02,,99165.25
11/12/2025,POS/CAFE COFFEE DAY/CG Road,274.53,,98890.72
12/12/2025,SPOTIFY/PREMIUM/Monthly,119.0,,98771.72
12/12/2025,UPI/GPAY/Transfer,3215.94,,95555.78
12/12/2025,ATM/CASH WITHDRAWAL/SBI ATM,2119.22,,93436.56
13/12/2025,UPI/BOOKMYSHOW/Movie Ticket,464.06,,92972.5
13/12/2025,UPI/GPAY/Transfer,5705.04,,87267.46
14/12/2025,POS/BPCL PETROL/Chandkheda,2339.45,,84928.01
14/12/2025,UPI/BIGBASKET/Grocery,1125.11,,83802.9
14/12/2025,SPOTIFY/PREMIUM/Monthly,119.0,,83683.9
14/12/2025,UPI/PAYTM/DTH Recharge,268.58,,83415.32
15/12/2025,UPI/HDFC0001/Swiggy Order,395.39,,83019.93
15/12/2025,UPI/GPAY/Transfer,9964.87,,73055.06
16/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,28852.62,101907.68
16/12/2025,AIRTEL/POSTPAID BILL/Mobile,451.98,,101455.7
17/12/2025,POS/CAFE COFFEE DAY/CG Road,303.1,,101152.6
17/12/2025,POS/RELIANCE FRESH/Chandkheda,798.98,,100353.62
17/12/2025,UPI/APOLLO PHARMACY/Medicine,1533.99,,98819.63
17/12/2025,UPI/PAYTM/DTH Recharge,291.75,,98527.88
18/12/2025,UPI/HDFC0001/Swiggy Order,493.9,,98033.98
18/12/2025,UPI/PHONEPE/Send Money,1847.2,,96186.78
18/12/2025,UPI/FLIPKART/Payment,5663.12,,90523.66
18/12/2025,UPI/MEESHO/Order Payment,489.91,,90033.75
18/12/2025,UPI/FLIPKART/Payment,4582.29,,85451.46
18/12/2025,POS/DMART/Ahmedabad,1725.98,,83725.48
19/12/2025,POS/BPCL PETROL/Chandkheda,2435.22,,81290.26
19/12/2025,POS/BPCL PETROL/Chandkheda,2374.99,,78915.27
19/12/2025,AIRTEL/POSTPAID BILL/Mobile,601.16,,78314.11
19/12/2025,AIRTEL/POSTPAID BILL/Mobile,761.13,,77552.98
19/12/2025,UPI/PHONEPE/KFC Ahmedabad,302.15,,77250.83
19/12/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,76951.83
20/12/2025,UPI/HDFC0001/Swiggy Order,336.77,,76615.06
20/12/2025,UPI/MEESHO/Order Payment,899.82,,75715.24
21/12/2025,UPI/UBER INDIA/Ride,280.13,,75435.11
21/12/2025,UPI/PHONEPE/Send Money,3675.5,,71759.61
21/12/2025,UPI/PHONEPE/Send Money,543.51,,71216.1
21/12/2025,POS/CAFE COFFEE DAY/CG Road,312.31,,70903.79
22/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,28144.11,99047.9
22/12/2025,POS/RELIANCE FRESH/Chandkheda,1215.51,,97832.39
22/12/2025,POS/DMART/Ahmedabad,2261.27,,95571.12
23/12/2025,UPI/PAYTM/DTH Recharge,254.7,,95316.42
23/12/2025,POS/DOMINOS PIZZA/MG Road,844.41,,94472.01
24/12/2025,BESCOM/ELECTRICITY BILL/Account,1867.09,,92604.92
24/12/2025,UPI/ZEPTO/Grocery Delivery,826.08,,91778.84
24/12/2025,UPI/BOOKMYSHOW/Movie Ticket,552.67,,91226.17
25/12/2025,BESCOM/ELECTRICITY BILL/Account,2183.37,,89042.8
25/12/2025,UPI/OLA/Cab Booking,257.47,,88785.33
25/12/2025,UPI/PYTM0002/Zomato Food,284.57,,88500.76
26/12/2025,UPI/BOOKMYSHOW/Movie Ticket,504.63,,87996.13
26/12/2025,BESCOM/ELECTRICITY BILL/Account,1226.89,,86769.24
26/12/2025,UPI/FLIPKART/Payment,2602.98,,84166.26
26/12/2025,POS/DOMINOS PIZZA/MG Road,822.23,,83344.03
27/12/2025,IRCTC/TICKET BOOKING/PNR,2368.98,,80975.05
27/12/2025,POS/NETMEDS/Online Pharmacy,542.31,,80432.74
27/12/2025,UPI/RAPIDO/Auto Ride,57.83,,80374.91
28/12/2025,SPOTIFY/PREMIUM/Monthly,119.0,,80255.91
28/12/2025,POS/CAFE COFFEE DAY/CG Road,315.36,,79940.55
28/12/2025,JIO/BROADBAND/Monthly,804.34,,79136.21
29/12/2025,SPOTIFY/PREMIUM/Monthly,119.0,,79017.21
29/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,29324.6,108341.81
29/12/2025,UPI/PYTM0002/Zomato Food,261.52,,108080.29
29/12/2025,AIRTEL/POSTPAID BILL/Mobile,470.43,,107609.86
29/12/2025,AIRTEL/POSTPAID BILL/Mobile,414.3,,107195.56
29/12/2025,ATM/CASH WITHDRAWAL/SBI ATM,3303.69,,103891.87
29/12/2025,NEFT/WIRE/Unknown Beneficiary,25000.0,,-42858.67
30/12/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,103592.87
30/12/2025,LIC/PREMIUM/Policy,4500.0,,99092.87
30/12/2025,UPI/GPAY/Transfer,2710.71,,96382.16
30/12/2025,POS/DOMINOS PIZZA/MG Road,739.83,,95642.33
31/12/2025,ZERODHA/SIP/Mutual Fund,4776.73,,90865.6
31/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,30747.43,121613.03
01/01/2026,POS/RELIANCE FRESH/Chandkheda,1003.82,,120609.21
01/01/2026,UPI/BLINKIT/Quick Commerce,879.68,,119729.53
01/01/2026,POS/MYNTRA FASHION/Online,2742.34,,116987.19
02/01/2026,LIC/PREMIUM/Policy,4500.0,,112487.19
02/01/2026,UPI/BOOKMYSHOW/Movie Ticket,371.33,,112115.86
02/01/2026,TORRENT GAS/PIPED GAS/Bill,466.32,,111649.54
02/01/2026,IRCTC/TICKET BOOKING/PNR,1438.05,,110211.49
03/01/2026,UPI/OLA/Cab Booking,206.95,,110004.54
03/01/2026,UPI/PAYTM/DTH Recharge,260.91,,109743.63
03/01/2026,UPI/HDFC0001/Swiggy Order,322.82,,109420.81
03/01/2026,POS/BPCL PETROL/Chandkheda,1859.78,,107561.03
03/01/2026,NEFT/TRANSFER/Personal,,5639.97,113201.0
04/01/2026,POS/NETMEDS/Online Pharmacy,592.98,,112608.02
04/01/2026,POS/BPCL PETROL/Chandkheda,2022.35,,110585.67
04/01/2026,UPI/UBER INDIA/Ride,257.89,,110327.78
04/01/2026,TORRENT GAS/PIPED GAS/Bill,454.64,,109873.14
05/01/2026,UPI/BLINKIT/Quick Commerce,429.38,,109443.76
05/01/2026,BESCOM/ELECTRICITY BILL/Account,1876.47,,107567.29
05/01/2026,UPI/RAPIDO/Auto Ride,104.53,,107462.76
05/01/2026,POS/DMART/Ahmedabad,883.05,,106579.71
05/01/2026,BESCOM/ELECTRICITY BILL/Account,2374.3,,104205.41
05/01/2026,POS/CAFE COFFEE DAY/CG Road,243.76,,103961.65
06/01/2026,IRCTC/TICKET BOOKING/PNR,2138.11,,101823.54
06/01/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,101174.54
06/01/2026,BESCOM/ELECTRICITY BILL/Account,1036.11,,100138.43
06/01/2026,UPI/HDFC0001/Swiggy Order,599.55,,99538.88
06/01/2026,UPI/FLIPKART/Payment,4780.31,,94758.57
06/01/2026,UPI/RAPIDO/Auto Ride,54.07,,94704.5
07/01/2026,POS/NETMEDS/Online Pharmacy,377.62,,94326.88
07/01/2026,BESCOM/ELECTRICITY BILL/Account,2267.95,,92058.93
07/01/2026,POS/MYNTRA FASHION/Online,2031.45,,90027.48
07/01/2026,POS/NETMEDS/Online Pharmacy,717.17,,89310.31
07/01/2026,UPI/PHONEPE/Send Money,3179.54,,86130.77
07/01/2026,UPI/APOLLO PHARMACY/Medicine,1180.24,,84950.53
08/01/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,84651.53
08/01/2026,UPI/PHONEPE/Send Money,2506.61,,82144.92
08/01/2026,UPI/UBER INDIA/Ride,280.79,,81864.13
08/01/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,79364.13
08/01/2026,BESCOM/ELECTRICITY BILL/Account,2143.78,,77220.35
08/01/2026,JIO/BROADBAND/Monthly,928.74,,76291.61
09/01/2026,BAJAJ FINANCE/EMI/Loan,3200.0,,73091.61
09/01/2026,JIO/BROADBAND/Monthly,830.96,,72260.65
09/01/2026,TORRENT GAS/PIPED GAS/Bill,370.35,,71890.3
09/01/2026,UPI/BLINKIT/Quick Commerce,621.75,,71268.55
09/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,28322.31,99590.86
09/01/2026,POS/DMART/Ahmedabad,1586.29,,98004.57
10/01/2026,POS/BPCL PETROL/Chandkheda,1128.46,,96876.11
10/01/2026,UPI/BOOKMYSHOW/Movie Ticket,372.65,,96503.46
10/01/2026,POS/NETMEDS/Online Pharmacy,578.68,,95924.78
11/01/2026,UPI/BOOKMYSHOW/Movie Ticket,389.05,,95535.73
11/01/2026,NEFT/TRANSFER/Personal,,7676.37,103212.1
11/01/2026,UPI/PYTM0002/Zomato Food,528.42,,102683.68
12/01/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,102034.68
12/01/2026,UPI/ZEPTO/Grocery Delivery,489.03,,101545.65
12/01/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,100896.65
12/01/2026,UPI/BOOKMYSHOW/Movie Ticket,430.7,,100465.95
12/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,31199.47,131665.42
12/01/2026,UPI/RAPIDO/Auto Ride,79.06,,131586.36
13/01/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,131287.36
13/01/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,130638.36
13/01/2026,SPOTIFY/PREMIUM/Monthly,119.0,,130519.36
13/01/2026,POS/NETMEDS/Online Pharmacy,855.75,,129663.61
14/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,28107.87,157771.48
14/01/2026,SPOTIFY/PREMIUM/Monthly,119.0,,157652.48
14/01/2026,UPI/PYTM0002/Zomato Food,250.22,,157402.26
14/01/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,157103.26
14/01/2026,POS/NETMEDS/Online Pharmacy,449.95,,156653.31
14/01/2026,AIRTEL/POSTPAID BILL/Mobile,550.64,,156102.67
15/01/2026,POS/NETMEDS/Online Pharmacy,529.77,,155572.9
15/01/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,154923.9
15/01/2026,UPI/BOOKMYSHOW/Movie Ticket,350.64,,154573.26
16/01/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,152073.26
16/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,28208.34,180281.6
17/01/2026,UPI/RAPIDO/Auto Ride,92.01,,180189.59
17/01/2026,POS/DOMINOS PIZZA/MG Road,764.83,,179424.76
17/01/2026,BESCOM/ELECTRICITY BILL/Account,1118.98,,178305.78
17/01/2026,UPI/PYTM0002/Zomato Food,443.68,,177862.1
18/01/2026,UPI/MEESHO/Order Payment,719.92,,177142.18
18/01/2026,POS/MYNTRA FASHION/Online,2321.72,,174820.46
18/01/2026,POS/BPCL PETROL/Chandkheda,1930.07,,172890.39
19/01/2026,POS/RELIANCE FRESH/Chandkheda,634.9,,172255.49
19/01/2026,ATM/CASH WITHDRAWAL/SBI ATM,4891.2,,167364.29
19/01/2026,POS/MYNTRA FASHION/Online,2899.04,,164465.25
19/01/2026,UPI/UBER INDIA/Ride,340.47,,164124.78
20/01/2026,NEFT/TRANSFER/Personal,,2154.07,166278.85
20/01/2026,UPI/PAYTM/DTH Recharge,286.37,,165992.48
21/01/2026,SPOTIFY/PREMIUM/Monthly,119.0,,165873.48
21/01/2026,IRCTC/TICKET BOOKING/PNR,628.59,,165244.89
21/01/2026,BESCOM/ELECTRICITY BILL/Account,963.04,,164281.85
21/01/2026,UPI/PAYTM/DTH Recharge,327.54,,163954.31
21/01/2026,ATM/CASH WITHDRAWAL/SBI ATM,4416.58,,159537.73
22/01/2026,POS/DOMINOS PIZZA/MG Road,540.96,,158996.77
22/01/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,158697.77
22/01/2026,POS/CAFE COFFEE DAY/CG Road,250.83,,158446.94
22/01/2026,UPI/BLINKIT/Quick Commerce,360.75,,158086.19
22/01/2026,UPI/BOOKMYSHOW/Movie Ticket,510.25,,157575.94
22/01/2026,UPI/FLIPKART/Payment,2883.38,,154692.56
23/01/2026,POS/NETMEDS/Online Pharmacy,739.02,,153953.54
23/01/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,153654.54
23/01/2026,ZERODHA/SIP/Mutual Fund,4896.42,,148758.12
23/01/2026,JIO/BROADBAND/Monthly,883.77,,147874.35
24/01/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,145374.35
24/01/2026,NEFT/TRANSFER/Personal,,3610.37,148984.72
24/01/2026,BESCOM/ELECTRICITY BILL/Account,2129.17,,146855.55
24/01/2026,UPI/AMAZON PAY/Amazon.in,2725.68,,144129.87
24/01/2026,UPI/APOLLO PHARMACY/Medicine,590.18,,143539.69
24/01/2026,POS/NETMEDS/Online Pharmacy,663.42,,142876.27
25/01/2026,UPI/BLINKIT/Quick Commerce,374.39,,142501.88
25/01/2026,UPI/BIGBASKET/Grocery,1000.05,,141501.83
25/01/2026,POS/BPCL PETROL/Chandkheda,1709.65,,139792.18
25/01/2026,AIRTEL/POSTPAID BILL/Mobile,535.14,,139257.04
25/01/2026,ATM/CASH WITHDRAWAL/SBI ATM,4103.55,,135153.49
26/01/2026,UPI/PHONEPE/Send Money,545.68,,134607.81
26/01/2026,IRCTC/TICKET BOOKING/PNR,651.19,,133956.62
26/01/2026,UPI/BOOKMYSHOW/Movie Ticket,416.8,,133539.82
26/01/2026,BESCOM/ELECTRICITY BILL/Account,1904.97,,131634.85
27/01/2026,UPI/APOLLO PHARMACY/Medicine,1468.69,,130166.16
27/01/2026,UPI/AMAZON PAY/Amazon.in,2858.85,,127307.31
27/01/2026,SPOTIFY/PREMIUM/Monthly,119.0,,127188.31
27/01/2026,UPI/PAYTM/DTH Recharge,299.59,,126888.72
27/01/2026,POS/RELIANCE FRESH/Chandkheda,1062.56,,125826.16
28/01/2026,UPI/ZEPTO/Grocery Delivery,577.85,,125248.31
28/01/2026,UPI/PHONEPE/Send Money,1988.56,,123259.75
28/01/2026,POS/NETMEDS/Online Pharmacy,499.0,,122760.75
28/01/2026,AIRTEL/POSTPAID BILL/Mobile,491.22,,122269.53
28/01/2026,IRCTC/TICKET BOOKING/PNR,1191.54,,121077.99
28/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,31803.51,152881.5
29/01/2026,IRCTC/TICKET BOOKING/PNR,958.5,,151923.0
29/01/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,149423.0
29/01/2026,NEFT/TRANSFER/Personal,,7859.64,157282.64
29/01/2026,UPI/UNKNOWN/Transfer/9876543210,48000.0,,-17160.67
30/01/2026,ATM/CASH WITHDRAWAL/SBI ATM,2849.0,,154433.64
30/01/2026,UPI/FLIPKART/Payment,5078.46,,149355.18
30/01/2026,TORRENT GAS/PIPED GAS/Bill,368.24,,148986.94
30/01/2026,UPI/OLA/Cab Booking,147.43,,148839.51
30/01/2026,SALARY/BRAINYBEAM TECH/NEFT,,28506.33,177345.84
30/01/2026,POS/DOMINOS PIZZA/MG Road,885.86,,176459.98
31/01/2026,TORRENT GAS/PIPED GAS/Bill,509.23,,175950.75
31/01/2026,UPI/MEESHO/Order Payment,900.66,,175050.09
31/01/2026,BAJAJ FINANCE/EMI/Loan,3200.0,,171850.09
31/01/2026,UPI/HDFC0001/Swiggy Order,449.81,,171400.28
31/01/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,168900.28
31/01/2026,UPI/BLINKIT/Quick Commerce,506.71,,168393.57
01/02/2026,AIRTEL/POSTPAID BILL/Mobile,775.43,,167618.14
01/02/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,165118.14
02/02/2026,SPOTIFY/PREMIUM/Monthly,119.0,,164999.14
02/02/2026,UPI/GPAY/Transfer,6665.01,,158334.13
03/02/2026,POS/DMART/Ahmedabad,1307.27,,157026.86
03/02/2026,UPI/GPAY/Transfer,9542.13,,147484.73
04/02/2026,BESCOM/ELECTRICITY BILL/Account,989.52,,146495.21
04/02/2026,UPI/BOOKMYSHOW/Movie Ticket,449.77,,146045.44
05/02/2026,UPI/RAPIDO/Auto Ride,102.06,,145943.38
05/02/2026,NETFLIX/SUBSCRIPTION/Monthly,649.0,,145294.38
05/02/2026,UPI/APOLLO PHARMACY/Medicine,675.77,,144618.61
05/02/2026,NEFT/TRANSFER/Personal,,7940.19,152558.8
05/02/2026,UPI/PAYTM/DTH Recharge,285.29,,152273.51
05/02/2026,UPI/PHONEPE/KFC Ahmedabad,426.31,,151847.2
06/02/2026,POS/BPCL PETROL/Chandkheda,2251.03,,149596.17
06/02/2026,AIRTEL/POSTPAID BILL/Mobile,663.17,,148933.0
07/02/2026,BESCOM/ELECTRICITY BILL/Account,1078.1,,147854.9
07/02/2026,POS/CAFE COFFEE DAY/CG Road,201.91,,147652.99
07/02/2026,UPI/BOOKMYSHOW/Movie Ticket,406.14,,147246.85
08/02/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,144746.85
08/02/2026,UPI/RAPIDO/Auto Ride,63.05,,144683.8
08/02/2026,TORRENT GAS/PIPED GAS/Bill,510.9,,144172.9
08/02/2026,POS/NETMEDS/Online Pharmacy,389.15,,143783.75
08/02/2026,UPI/RAPIDO/Auto Ride,113.91,,143669.84
08/02/2026,NEFT/TRANSFER/Personal,,5967.1,149636.94
09/02/2026,AMAZON PRIME/SUBSCRIPTION,299.0,,149337.94
09/02/2026,UPI/RAPIDO/Auto Ride,91.81,,149246.13
09/02/2026,JIO/BROADBAND/Monthly,946.99,,148299.14
10/02/2026,UPI/PHONEPE/KFC Ahmedabad,319.82,,147979.32
10/02/2026,UPI/PAYTM/DTH Recharge,289.26,,147690.06
11/02/2026,TORRENT GAS/PIPED GAS/Bill,431.75,,147258.31
11/02/2026,POS/NETMEDS/Online Pharmacy,728.77,,146529.54
11/02/2026,SPOTIFY/PREMIUM/Monthly,119.0,,146410.54
11/02/2026,LIC/PREMIUM/Policy,4500.0,,141910.54
11/02/2026,UPI/APOLLO PHARMACY/Medicine,328.71,,141581.83
11/02/2026,POS/DOMINOS PIZZA/MG Road,839.18,,140742.65
12/02/2026,ATM/CASH WITHDRAWAL/SBI ATM,2751.1,,137991.55
12/02/2026,UPI/AMAZON PAY/Amazon.in,2290.64,,135700.91
12/02/2026,UPI/GPAY/Transfer,6284.11,,129416.8
12/02/2026,UPI/PYTM0002/Zomato Food,579.85,,128836.95
13/02/2026,UPI/GPAY/Transfer,1362.09,,127474.86
13/02/2026,UPI/OLA/Cab Booking,179.4,,127295.46
13/02/2026,UPI/APOLLO PHARMACY/Medicine,1665.72,,125629.74
13/02/2026,UPI/OLA/Cab Booking,279.42,,125350.32
14/02/2026,BAJAJ FINANCE/EMI/Loan,3200.0,,122150.32
14/02/2026,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,119650.32
14/02/2026,UPI/BLINKIT/Quick Commerce,622.9,,119027.42
14/02/2026,UPI/FLIPKART/Payment,5216.53,,113810.89
